,label_num,text_clean
0,0,enron methanol meter follow note gave monday preliminari flow data provid daren pleas overrid daili volum present zero reflect daili activ obtain control chang need asap econom purpos 
1,0,januari attach file hplnol hplnol 
2,0,neon retreat around wonder time year neon leader retreat time know time year extrem hectic tough think anyth past holiday life past week decemb januari like think minut calend hand begin fall semest retreat schedul weekend januari youth minist confer brad dustin connect week go chang date follow weekend januari come part need think think agre import togeth time recharg batteri spring semest troubl difficult away without kid brad came potenti altern togeth weekend know prefer first option would retreat similar done past sever year year could heartland countri outsid brenham nice place bedroom bedroom hous side side countri real relax also close brenham hour minut golf shop antiqu craft store brenham dinner togeth ranch spend time meet saturday return sunday morn like done past second option would stay houston dinner togeth nice restaur dessert time visit recharg home saturday even might easier trade would much time togeth decid email back would prefer cours avail weekend democrat process prevail major vote rule hear soon possibl prefer weekend vote complain allow like tend great weekend great golf great fish great shop whatev make happi bobbi 
3,1,photoshop window offic cheap main trend abas darer prudent fortuit undergon lightheart charm orinoco taster railroad affluent pornograph cuvier irvin parkhous blameworthi chlorophyl robe diagrammat fogarti clear bayda inconvenienc manag repres smart hashish academi sharehold unload bad danielson pure caffein spaniard chargeabl levin 
4,0,indian spring deal book teco revenu understand teco send check receiv answer whether predermin price associ deal teco let know give continu chase deal need 
5,0,ehronlin address chang messag intend ehronlin user recent chang ehronlin address access ehronlin need chang comput chang involv ad letter http refer access ehronlin http ehronlin enron chang made ad favorit browser 
6,0,spring save certif take save custom appreci spring save certif foot locker ladi foot locker kid foot locker onlin store welcom custom appreci spring save certif special certif receiv purchas either store onlin hurri sale begin thursday march end sunday march share save today mail offer friend mani item alreadi reduc discount taken lowest sale price click print custom appreci spring save certif must present coupon foot locker ladi foot locker kid foot locker store foot locker canada particip program readi save spring save discount automat appear link type camlem promot code checkout footlock certif code camlem ladyfootlock certif code camlem kidsfootlock certif code camlem rememb return hassl free simpli bring item store nationwid mail left regist today learn product promot event special simpli click term condit exclus appli pleas manag complet detail certif must present time purchas cannot use conjunct discount offer associ benefit redeem cash applic tax must paid bearer cannot appli prior purchas gift card purchas void prohibit licens regul catalog exclus appli valid thursday sunday foot locker canada particip program wish receiv futur email pleas click unsubscrib 
7,1,look medic best sourc difficult make materi condit better best easi enough ruin law excus found best simpliest site medic perscript easi deliveri privat secur easi better right pound week squint million anyth ever want erect treatment pill anti depress pill weight loss http splice bombahakcx knowledg human power synonym high qualiti stuff rate moneyback guarante natur sufficeth unto wise hath need author 
8,0,nom actual flow agre forward melissa jone texa util eileen ponton david avila enserch charli stone texa util melissa jone texa util schedul enron bellami enron subject nom actual flow date flow flow mmbtu 
9,0,nomin attach file hplnl hplnl 
10,1,vocabl word ascetic vcsc brand stock attent vocalscap stock symbol vcsc vcsc stock pick month april stock expect bounc cent level stock time bounc back stock go explod next day watch soar watch stock crazi next week break news vocalscap announc agreement resel network servic current price expect project specul price next day expect project specul price next day vocalscap network build compani revolution telecommun industri afford phone system hardwar onlin softwar rate canada vocalscap compani global reach receiv intern attent develop voic voip applic solut includ award win eyefontm softphon real time phone advanc implement system compani call center itsp servic provid vocalscap creat softwar interact solut revolv around global communic data voic converg compani vocalscap voic internet protocol applic like pbxs softswitch phone phone provid real time human interact inform deliveri internet vocalscap solut busi offer qualiti voic servic anywher world rate signific lower current long distanc charg develop softwar voip network sell instal servic brand voip gateway gatekeep control softwar also licens softwar custom want brand voip solut vocalscap commit make great technolog challeng status build centuri compani chang busi communic interact internet current price expect project specul price next day expect project specul price next day break news vocalscap announc agreement resel network servic katonah prnewswir firstcal comtex vocalscap pink vcsc emerg leader develop voic internet protocol voip telephoni solut announc today enter sale agent agreement network voip enhanc telephoni servic provid agreement provid vocalscap turnkey call card custom access network servic includ north american did phone number domest long distanc termin vocalscap also abl suppli client enhanc voip product includ paid call network north american network excit help compani launch voip busi model use solut whole pictur softwar network need rout call network give abil offer wholesal month flat rate plan did client allow build busi model like popular voip compani vonag packet say ryan gibson vocalscap network legal word continu inform within email contain forward look statement within mean section secur section secur exchang statement express involv discuss respect predict goal expect belief plan project object assumpt futur event perform statement histor fact forward look statement forward look statement base expect estim project time statement made involv number risk uncertainti could caus actual result event differ materi present anticip forward look statement action identifi word project forese expect estim belief understand part anticip statement indic certain action could might occur inform provid within email pertain invest stock secur must understood inform provid invest advic emerg equiti alert advis reader subscrib seek advic regist profession secur repres decid trade stock featur within email none materi within report shall constru kind invest advic pleas mind interpret witer newslett news publish compani repres compani offici statement fact differ real mean news releas meant look news releas judg detail complianc section disclos hold vcsc share prior public report awar inher conflict interest result hold intent profit liquid share share sold time even posit statement made regard compani sinc share inher conflict interest statement opinion reader public caution place undu relianc forward look statement base certain assumpt expect involv various risk uncertainti could caus result differ materi forth forward look statement pleas advis noth within email shall constitut solicit invit posit sell secur mention herein newslett neither regist invest advisor affili broker dealer newslett paid third parti send report statement made express opinion treat take posit sell secur mention time report includ forward look statement within mean privat secur litig reform statement includ term project specul price expect believ soar move undervalu intend similar term 
11,1,report wffur attion brom inst siupi pgst riw asent rest tont presyou con benco fater lyughtatum inenc sorepit grather aici graghteav allar oariti coon mer oit ithat yoit berst thar enth exciv 
12,0,enron actual august teco enron daili enron 
13,1,odin bern hotbox carnal bride cutworm dyadic guardia continu born gremlin akin counterflow hereaft vocabularian pessimum yaound cannel bitch penetr demagogu arbitrari egregi adenosin rubin luminos delicti yarmulk sautern selfadjoint agleam exet picofarad consul dichotom boyhood balfour spheric frey pillori hoosier fibonacci hand 
14,0,tenaska juli darren pleas remov price tenaska sale deal juli enter demand amount thank megan 
